entity,date,score_isolation_forest,score_lof,score_isolation_forest_norm,score_lof_norm,score_combined_norm,rank_isolation_forest,rank_lof,rank_combined
tmtp-003366,2025-12-23,-0.1314015815800278,-0.24678981997352056,0.48839739736755744,0.7809271401964668,0.6346622687820122,3.0,2.0,2.5
tmtp-000247,2025-12-23,-0.15991384184109753,-0.3851064252807228,0.3880694265658414,0.4255600377277013,0.40681473214677133,4.0,3.0,3.5
tmtp-003213,2025-12-23,0.00931461540572387,-0.4790101707102665,0.9835447611067706,0.18429976496330086,0.5839222630350357,2.0,10.0,6.0
tmtp-000126,2025-12-23,-0.2043058009237912,-0.4387551879709848,0.2318645121220518,0.2877240540731771,0.25979428309761443,8.0,4.0,6.0
TMTP-000023-NB,2025-12-23,-0.2356033004483285,-0.16152189823158425,0.12173593621424018,1.0,0.5608679681071201,15.0,1.0,8.0
tmtp-000112,2025-12-23,0.013991038642760079,-0.49409717718138735,1.0,0.14553778289569624,0.5727688914478481,1.0,17.0,9.0
tmtp-000833,2025-12-23,-0.1805223733124996,-0.49072777625963737,0.31555282757308595,0.15419454713566944,0.2348736873543777,6.0,16.0,11.0
tmtp-000282,2025-12-23,-0.23654241680764987,-0.4576007314939523,0.11843140553814874,0.2393055277412757,0.17886846663971223,16.0,6.0,11.0
tmtp-003560,2025-12-23,-0.24187711359964276,-0.46003718679271044,0.09965985606846843,0.23304571491626225,0.16635278549236535,18.0,7.0,12.5
tmtp-000177,2025-12-23,-0.2560965519243912,-0.44836705534464794,0.04962498054476146,0.26302896088240396,0.1563269707135827,24.0,5.0,14.5
cplus-010620,2025-12-23,-0.22679944210655195,-0.5065292306654765,0.15271465324924885,0.11359698435914165,0.13315581880419525,11.0,21.0,16.0
tmtp-000392,2025-12-23,-0.23024610732290807,-0.5060415770267659,0.1405866450161726,0.11484987847270127,0.12771826174443693,12.0,20.0,16.0
tmtp-004132,2025-12-23,-0.2460221323300788,-0.4854914367815315,0.08507450526316715,0.16764790498626436,0.12636120512471577,19.0,13.0,16.0
tmtp-003612,2025-12-23,-0.1672283480477076,-0.5240903491060254,0.3623313911240237,0.06847844083742828,0.21540491598072598,5.0,28.0,16.5
tmtp-000323,2025-12-23,-0.23159520241390746,-0.5068655026968076,0.13583949513541294,0.1127330243367711,0.12428625973609202,13.0,22.0,17.5
tmtp-000187,2025-12-23,-0.25763345929545284,-0.4769114992693819,0.044216963206362245,0.18969173353659463,0.11695434837147844,27.0,9.0,18.0
tmtp-003312,2025-12-23,-0.25703362380071726,-0.479733203710921,0.04632764392583622,0.18244212724972916,0.11438488558778269,26.0,11.0,18.5
tmtp-003146,2025-12-23,-0.2351247264720725,-0.511844569467236,0.12341992603043275,0.09994065911586505,0.1116802925731489,14.0,24.0,19.0
tmtp-003672,2025-12-23,-0.2656806729043023,-0.4689975190386868,0.015900701900127587,0.2100245649947621,0.11296263344744484,30.0,8.0,19.0
tmtp-003541,2025-12-23,-0.24784904488102227,-0.4989381303333036,0.07864602757006024,0.13310026325759727,0.10587314541382875,20.0,19.0,19.5
tmtp-000224,2025-12-23,-0.21830895508828313,-0.52877192961466,0.1825906899387815,0.05645038609568054,0.11952053801723102,10.0,30.0,20.0
tmtp-000085,2025-12-23,-0.2564139405077428,-0.4904710228450684,0.04850816440210099,0.15485420558218566,0.10168118499214332,25.0,15.0,20.0
tmtp-003377,2025-12-23,-0.19682624878980692,-0.5507436476459364,0.258183305554675,0.0,0.1290916527773375,7.0,34.0,20.5
tmtp-000417,2025-12-23,-0.21242537863836108,-0.5410946412139355,0.2032936184640031,0.02479051195499599,0.11404206520949954,9.0,32.0,20.5
tmtp-000326,2025-12-23,-0.24127167620821216,-0.5126081041745012,0.10179024855133492,0.09797896322293496,0.09988460588713494,17.0,25.0,21.0
tmtp-000143,2025-12-23,-0.257842335694621,-0.4864803552408248,0.043481976043470615,0.1651071465091719,0.10429456127632127,28.0,14.0,21.0
cplus-0107994,2025-12-23,-0.2483763817189395,-0.5086721337354259,0.07679045265622339,0.10809137457969407,0.09244091361795873,21.0,23.0,22.0
tmtp-003372,2025-12-23,-0.26800249107111135,-0.4832739585152237,0.007730767173326251,0.17334511556004234,0.09053794136668429,33.0,12.0,22.5
tmtp-004018,2025-12-23,-0.2674964423771684,-0.4959106984792856,0.009511434090830355,0.1408784304812256,0.07519493228602799,32.0,18.0,25.0
tmtp-000565,2025-12-23,-0.24949094264189609,-0.5378626227473943,0.07286857362203816,0.0330943091384892,0.052981441380263686,22.0,31.0,26.5
