entity_type,entity,date,severity,score_combined_norm,rank_combined,score_isolation_forest,score_lof,rank_isolation_forest,rank_lof,top_contributors,contrib1_feature,contrib1_z,contrib1_value,contrib1_baseline_median,contrib2_feature,contrib2_z,contrib2_value,contrib2_baseline_median,contrib3_feature,contrib3_z,contrib3_value,contrib3_baseline_median,contrib4_feature,contrib4_z,contrib4_value,contrib4_baseline_median,contrib5_feature,contrib5_z,contrib5_value,contrib5_baseline_median
host,tmtp-003366,2025-12-23,high,0.6346622687820122,2.5,-0.1314015815800278,-0.24678981997352056,3.0,2.0,"siem_events_total:+2.26 (v=12205, base=7989); siem_unique_hours:+1.21 (v=17, base=12); day_of_week:-0.67 (v=1, base=2); siem_unique_destination_addr:+0.67 (v=7, base=6); siem_unique_users:+0.59 (v=9, base=8)",siem_events_total,2.2568674936137505,12205.0,7989.0,siem_unique_hours,1.2140833670578715,17.0,12.5,day_of_week,-0.6744907594765952,1.0,2.5,siem_unique_destination_addr,0.6744907594765952,7.0,6.0,siem_unique_users,0.5903260526902472,9.0,8.0
host,tmtp-000247,2025-12-23,high,0.40681473214677133,3.5,-0.15991384184109753,-0.3851064252807228,4.0,3.0,"siem_unique_source_process:+4.89 (v=52, base=38); siem_business_share:+3.25 (v=0, base=0); siem_night_share:-3.12 (v=0, base=0); siem_unique_destination_addr:+2.70 (v=6, base=4); siem_unique_users:+2.70 (v=9, base=5)",siem_unique_source_process,4.890058006205315,52.0,37.5,siem_business_share,3.24932550652555,0.4470757921183641,0.3987721595130921,siem_night_share,-3.123403603557184,0.2192341692644116,0.24071169218957267,siem_unique_destination_addr,2.697963037906381,6.0,4.0,siem_unique_users,2.697963037906381,9.0,5.0
host,tmtp-000126,2025-12-23,high,0.25979428309761443,6.0,-0.2043058009237912,-0.4387551879709848,8.0,4.0,"siem_unique_event_class:+3.16 (v=6, base=3); siem_unique_destination_addr:+1.44 (v=4, base=3); siem_unique_source_process:+1.35 (v=41, base=33); siem_unique_name:+1.35 (v=6, base=4); siem_unique_users:+1.35 (v=11, base=7)",siem_unique_event_class,3.155376882363622,6.0,3.0,siem_unique_destination_addr,1.4429314890358733,4.0,3.0,siem_unique_source_process,1.3489815189531904,41.0,33.0,siem_unique_name,1.3489815189531904,6.0,4.0,siem_unique_users,1.3489815189531904,11.0,7.0
host,tmtp-003213,2025-12-23,high,0.5839222630350357,6.0,0.00931461540572387,-0.4790101707102665,2.0,10.0,"siem_unique_category:+3.94 (v=3, base=2); pan_events_total:-1.72 (v=3870, base=5876); pan_share_of_all_events:-1.69 (v=0, base=0); pan_night_share:-1.18 (v=0, base=0); siem_night_share:+1.06 (v=0, base=0)",siem_unique_category,3.941537046091826,3.0,2.0,pan_events_total,-1.7207447029749376,3870.0,5876.5,pan_share_of_all_events,-1.689248974030159,0.1005038175868695,0.14829886162789505,pan_night_share,-1.1805851161640415,0.1868217054263566,0.22367639904581343,siem_night_share,1.0606890993615854,0.2139392539554221,0.19380356810927768
host,cplus-010620,2025-12-23,low,0.13315581880419525,16.0,-0.22679944210655195,-0.5065292306654765,11.0,21.0,"siem_unique_source_process:+2.22 (v=3, base=2); siem_unique_event_class:+2.04 (v=4, base=3); siem_unique_name:+1.78 (v=4, base=3); siem_unique_destination_addr:+1.35 (v=5, base=3); siem_business_share:+0.90 (v=0, base=0)",siem_unique_source_process,2.223326745708291,3.0,2.0,siem_unique_event_class,2.040264548002862,4.0,3.0,siem_unique_name,1.7754362599213405,4.0,3.0,siem_unique_destination_addr,1.3489815189531904,5.0,3.0,siem_business_share,0.898093995469078,0.3816001844593036,0.37781142706111737
host,tmtp-000392,2025-12-23,low,0.12771826174443693,16.0,-0.23024610732290807,-0.5060415770267659,12.0,20.0,"day_of_week:-0.67 (v=1, base=3); siem_unique_destination_addr:+0.67 (v=5, base=4); siem_events_total:-0.35 (v=3842, base=3880); siem_unique_source_process:+0.10 (v=3, base=2); siem_business_share:+0.10 (v=0, base=0)",day_of_week,-0.6744907594765952,1.0,3.0,siem_unique_destination_addr,0.6744907594765952,5.0,4.0,siem_events_total,-0.3485623387899183,3842.0,3880.5,siem_unique_source_process,0.09977718370673255,3.0,2.0,siem_business_share,0.09663965532683128,0.3789692868297761,0.37816257908904516
host,tmtp-004132,2025-12-23,low,0.12636120512471577,16.0,-0.2460221323300788,-0.4854914367815315,19.0,13.0,"siem_unique_users:+1.07 (v=5, base=3); siem_events_total:+1.03 (v=719, base=657); day_of_week:-0.67 (v=1, base=3); siem_unique_destination_addr:+0.67 (v=7, base=6); siem_night_share:+0.29 (v=0, base=0)",siem_unique_users,1.0655513473013516,5.0,3.0,siem_events_total,1.032553755248121,719.0,657.0,day_of_week,-0.6744907594765952,1.0,3.0,siem_unique_destination_addr,0.6744907594765952,7.0,6.0,siem_night_share,0.2915844305087817,0.2280945757997218,0.22077929126917611
host,tmtp-003612,2025-12-23,low,0.21540491598072598,16.5,-0.1672283480477076,-0.5240903491060254,5.0,28.0,"siem_unique_users:+2.02 (v=12, base=6); siem_unique_source_process:+0.86 (v=50, base=43); day_of_week:-0.67 (v=1, base=3); siem_unique_destination_addr:+0.67 (v=6, base=5); siem_night_share:-0.67 (v=0, base=0)",siem_unique_users,2.023472278429786,12.0,6.0,siem_unique_source_process,0.858442784788394,50.0,43.0,day_of_week,-0.6744907594765952,1.0,3.0,siem_unique_destination_addr,0.6744907594765952,6.0,5.0,siem_night_share,-0.6744907594765952,0.0,0.02468687096861215
host,tmtp-000323,2025-12-23,low,0.12428625973609202,17.5,-0.23159520241390746,-0.5068655026968076,13.0,22.0,"siem_unique_source_process:+6.97 (v=48, base=32); siem_unique_users:+3.10 (v=9, base=4); siem_unique_event_class:+1.75 (v=6, base=5); siem_unique_name:+1.35 (v=8, base=6); siem_business_share:+1.14 (v=1, base=0)",siem_unique_source_process,6.969737847924817,48.0,32.5,siem_unique_users,3.1015540183294656,9.0,4.0,siem_unique_event_class,1.7502514909835496,6.0,5.0,siem_unique_name,1.3489815189531904,8.0,6.0,siem_business_share,1.1405125824396816,0.5680943831751731,0.4948742343652248
host,tmtp-000187,2025-12-23,low,0.11695434837147844,18.0,-0.25763345929545284,-0.4769114992693819,27.0,9.0,"siem_unique_event_class:+2.04 (v=6, base=5); siem_unique_users:+1.86 (v=6, base=4); siem_unique_destination_addr:+1.76 (v=6, base=4); siem_night_share:-0.97 (v=0, base=0); siem_unique_source_process:+0.90 (v=39, base=33)",siem_unique_event_class,2.040264548002861,6.0,5.0,siem_unique_users,1.8617560146719898,6.0,4.0,siem_unique_destination_addr,1.759569665927629,6.0,4.0,siem_night_share,-0.9687478334721374,0.1582150101419878,0.18147492085389674,siem_unique_source_process,0.8993210126354603,39.0,33.0
