entity_type,entity,date,severity,описание,real_user,event_count,time_range,top_hours,программы,top_event_names,top_users,top_hosts,top_addresses,source_files
user,user003,2025-12-23,critical,События: 5942. Диапазон времени: 2025-12-23 08:03:15 — 2025-12-23 20:48:50. Пиковые часы: 17:00 (903); 11:00 (831); 08:00 (705); 13:00 (604); 18:00 (528). Запуск ПО: - (1226); Kerberos (1038); C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\acrocef_1\\AcroCEF.exe (520); C:\\Windows\\System32\\svchost.exe (416); C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\Acrobat.exe (384). События/ID: Microsoft-Windows-Security-Auditing (5942); 4688 (2824); A new process has been created. (2824); 4624 (1266); An account was successfully logged on. (1266). Сетевые адреса/сайты: 10.50.30.9 (2832); 10.14.1.71 (1602); 10.14.1.72 (1155); 10.50.11.20 (261); 10.50.11.16 (28).,dwm-10,5942,2025-12-23 08:03:15 — 2025-12-23 20:48:50,17:00 (903); 11:00 (831); 08:00 (705); 13:00 (604); 18:00 (528),- (1226); Kerberos (1038); C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\acrocef_1\\AcroCEF.exe (520); C:\\Windows\\System32\\svchost.exe (416); C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\Acrobat.exe (384),Microsoft-Windows-Security-Auditing (5942); 4688 (2824); A new process has been created. (2824); 4624 (1266); An account was successfully logged on. (1266),user003 (5942); - (4477); tmtp-003612$ (538),,10.50.30.9 (2832); 10.14.1.71 (1602); 10.14.1.72 (1155); 10.50.11.20 (261); 10.50.11.16 (28),user003_SIEM_2025-12-23.csv
user,user043,2025-12-23,critical,События: 9369. Диапазон времени: 2025-12-23 00:04:11 — 2025-12-23 23:59:13. Пиковые часы: 08:00 (940); 15:00 (878); 13:00 (843); 14:00 (757); 09:00 (706). Запуск ПО: Outlook-iOS-Android/1.0 (1890); - (1204); C:\\Users\\iv.kuznecov\\AppData\\Local\\Yandex\\YandexBrowser\\Application\\browser.exe (1071); Kerberos (873); Apple-iPhone12C1/2303.55 (805). События/ID: Microsoft-Windows-Security-Auditing (4765); 4688 (1890); A new process has been created. (1883); An account was successfully logged on. (1205); 4624 (1205). Сетевые адреса/сайты: 10.14.1.71 (3854); 10.14.1.72 (2662); 10.50.24.17 (1898); 10.10.7.21 (545); 10.50.11.20 (308).,,9369,2025-12-23 00:04:11 — 2025-12-23 23:59:13,08:00 (940); 15:00 (878); 13:00 (843); 14:00 (757); 09:00 (706),Outlook-iOS-Android/1.0 (1890); - (1204); C:\\Users\\iv.kuznecov\\AppData\\Local\\Yandex\\YandexBrowser\\Application\\browser.exe (1071); Kerberos (873); Apple-iPhone12C1/2303.55 (805),Microsoft-Windows-Security-Auditing (4765); 4688 (1890); A new process has been created. (1883); An account was successfully logged on. (1205); 4624 (1205),user043 (9369); - (3446); tmtp-000326$ (469); spb-msg02$ (9),,10.14.1.71 (3854); 10.14.1.72 (2662); 10.50.24.17 (1898); 10.10.7.21 (545); 10.50.11.20 (308),user043_SIEM_2025-12-23.csv
user,user044,2025-12-23,high,События: 89027. Диапазон времени: 2025-12-23 00:00:00 — 2025-12-23 23:59:58. Пиковые часы: 09:00 (4611); 11:00 (4446); 10:00 (4355); 18:00 (4349); 08:00 (4281). Запуск ПО: Trusted Zone (79151); - (3183); Kerberos (2219); NtLmSsp (853); Apple-iPhone16C2/2302.85 (749). События/ID: TRAFFIC (79151); end (79151); Microsoft-Windows-Security-Auditing (7237); 4624 (3092); An account was successfully logged on. (3092). Сетевые адреса/сайты: 10.13.214.6 (66208); 10.14.1.71 (4453); 10.14.1.72 (3917); 10.50.11.20 (978); 79.133.169.58 (578).,,89027,2025-12-23 00:00:00 — 2025-12-23 23:59:58,09:00 (4611); 11:00 (4446); 10:00 (4355); 18:00 (4349); 08:00 (4281),Trusted Zone (79151); - (3183); Kerberos (2219); NtLmSsp (853); Apple-iPhone16C2/2302.85 (749),TRAFFIC (79151); end (79151); Microsoft-Windows-Security-Auditing (7237); 4624 (3092); An account was successfully logged on. (3092),user044 (89027); - (5134); spb-msg02$ (24); spb-msg01$ (18); spb-dc02$ (9),,10.13.214.6 (66208); 10.14.1.71 (4453); 10.14.1.72 (3917); 10.50.11.20 (978); 79.133.169.58 (578),user044_SIEM_2025-12-23.csv; user044_PAN_2025-12-23.csv
user,user089,2025-12-23,low,События: 15090. Диапазон времени: 2025-12-23 00:04:26 — 2025-12-23 23:59:54. Пиковые часы: 11:00 (1249); 10:00 (1210); 07:00 (1183); 15:00 (985); 08:00 (955). Запуск ПО: Trusted Zone (7508); Outlook-iOS-Android/1.0 (1980); - (1575); Kerberos (1233); C:\\Windows\\System32\\svchost.exe (545). События/ID: end (7508); TRAFFIC (7508); Microsoft-Windows-Security-Auditing (4619); 4624 (1591); An account was successfully logged on. (1591). Сетевые адреса/сайты: 10.14.1.71 (4562); 10.14.1.72 (1122); 10.50.30.32 (980); 10.50.11.20 (460); 79.133.169.58 (446).,,15090,2025-12-23 00:04:26 — 2025-12-23 23:59:54,11:00 (1249); 10:00 (1210); 07:00 (1183); 15:00 (985); 08:00 (955),Trusted Zone (7508); Outlook-iOS-Android/1.0 (1980); - (1575); Kerberos (1233); C:\\Windows\\System32\\svchost.exe (545),end (7508); TRAFFIC (7508); Microsoft-Windows-Security-Auditing (4619); 4624 (1591); An account was successfully logged on. (1591),user089 (15090); - (2924); tmtp-000417$ (643); spb-msg01$ (15); spb-msg02$ (6),,10.14.1.71 (4562); 10.14.1.72 (1122); 10.50.30.32 (980); 10.50.11.20 (460); 79.133.169.58 (446),user089_SIEM_2025-12-23.csv; user089_PAN_2025-12-23.csv
user,user008,2025-12-23,low,События: 14567. Диапазон времени: 2025-12-23 00:00:08 — 2025-12-23 23:59:59. Пиковые часы: 13:00 (833); 17:00 (789); 15:00 (776); 08:00 (732); 16:00 (723). Запуск ПО: - (3540); Kerberos (3472); Trusted Zone (3010); Outlook-iOS-Android/1.0 (1427); C:\\Windows\\System32\\svchost.exe (604). События/ID: Microsoft-Windows-Security-Auditing (9213); An account was successfully logged on. (3542); 4624 (3542); An account was logged off. (3405); 4634 (3405). Сетевые адреса/сайты: 10.50.11.6 (4012); 10.14.1.72 (3204); 10.14.1.71 (2840); 10.50.108.14 (808); 10.10.7.21 (469).,dwm-9,14567,2025-12-23 00:00:08 — 2025-12-23 23:59:59,13:00 (833); 17:00 (789); 15:00 (776); 08:00 (732); 16:00 (723),- (3540); Kerberos (3472); Trusted Zone (3010); Outlook-iOS-Android/1.0 (1427); C:\\Windows\\System32\\svchost.exe (604),Microsoft-Windows-Security-Auditing (9213); An account was successfully logged on. (3542); 4624 (3542); An account was logged off. (3405); 4634 (3405),user008 (13633); - (5129); user009 (934); tmtp-000320$ (608); spb-msg02$ (15),,10.50.11.6 (4012); 10.14.1.72 (3204); 10.14.1.71 (2840); 10.50.108.14 (808); 10.10.7.21 (469),user008_SIEM_2025-12-23.csv; user008_PAN_2025-12-23.csv
user,user004,2025-12-23,low,События: 22521. Диапазон времени: 2025-12-23 00:00:16 — 2025-12-23 23:59:38. Пиковые часы: 12:00 (1867); 13:00 (1610); 17:00 (1491); 08:00 (1137); 14:00 (1136). Запуск ПО: Trusted Zone (14201); Outlook-iOS-Android/1.0 (2087); - (1785); Kerberos (1430); NtLmSsp (346). События/ID: end (14201); TRAFFIC (14201); Microsoft-Windows-Security-Auditing (5196); An account was successfully logged on. (1788); 4624 (1788). Сетевые адреса/сайты: 10.14.1.72 (3967); 10.14.1.71 (2763); 185.129.100.166 (972); 185.129.100.162 (954); 151.236.74.66 (932).,dwm-5,22521,2025-12-23 00:00:16 — 2025-12-23 23:59:38,12:00 (1867); 13:00 (1610); 17:00 (1491); 08:00 (1137); 14:00 (1136),Trusted Zone (14201); Outlook-iOS-Android/1.0 (2087); - (1785); Kerberos (1430); NtLmSsp (346),end (14201); TRAFFIC (14201); Microsoft-Windows-Security-Auditing (5196); An account was successfully logged on. (1788); 4624 (1788),user004 (22521); - (3535); tmtp-000085$ (273); spb-msg01$ (9); spb-msg02$ (3),,10.14.1.72 (3967); 10.14.1.71 (2763); 185.129.100.166 (972); 185.129.100.162 (954); 151.236.74.66 (932),user004_SIEM_2025-12-23.csv; user004_PAN_2025-12-23.csv
user,user040,2025-12-23,low,События: 5985. Диапазон времени: 2025-12-23 00:00:36 — 2025-12-23 23:14:14. Пиковые часы: 08:00 (779); 10:00 (778); 16:00 (482); 09:00 (374); 13:00 (373). Запуск ПО: Trusted Zone (1614); - (1229); Kerberos (1007); C:\\Windows\\System32\\svchost.exe (292); NtLmSsp (208). События/ID: Microsoft-Windows-Security-Auditing (4293); TRAFFIC (1614); end (1614); 4624 (1230); An account was successfully logged on. (1230). Сетевые адреса/сайты: 10.14.1.71 (1551); 10.14.1.72 (1467); 10.50.21.38 (1073); 10.50.11.20 (200); 2.23.89.249 (120).,,5985,2025-12-23 00:00:36 — 2025-12-23 23:14:14,08:00 (779); 10:00 (778); 16:00 (482); 09:00 (374); 13:00 (373),Trusted Zone (1614); - (1229); Kerberos (1007); C:\\Windows\\System32\\svchost.exe (292); NtLmSsp (208),Microsoft-Windows-Security-Auditing (4293); TRAFFIC (1614); end (1614); 4624 (1230); An account was successfully logged on. (1230),user040 (5985); - (2820); tmtp-000224$ (442); spb-msg02$ (18); spb-msg01$ (15),,10.14.1.71 (1551); 10.14.1.72 (1467); 10.50.21.38 (1073); 10.50.11.20 (200); 2.23.89.249 (120),user040_SIEM_2025-12-23.csv; user040_PAN_2025-12-23.csv
user,user042,2025-12-23,low,События: 6477. Диапазон времени: 2025-12-23 07:52:49 — 2025-12-23 20:40:21. Пиковые часы: 13:00 (973); 12:00 (949); 07:00 (827); 11:00 (793); 10:00 (615). Запуск ПО: Trusted Zone (2959); - (909); Kerberos (714); C:\\Windows\\System32\\svchost.exe (571); NtLmSsp (187). События/ID: Microsoft-Windows-Security-Auditing (3518); end (2959); TRAFFIC (2959); A new process has been created. (1351); 4688 (1351). Сетевые адреса/сайты: 10.50.35.8 (1359); 10.14.1.71 (1161); 10.14.1.72 (692); 10.50.11.20 (233); 87.250.251.119 (109).,,6477,2025-12-23 07:52:49 — 2025-12-23 20:40:21,13:00 (973); 12:00 (949); 07:00 (827); 11:00 (793); 10:00 (615),Trusted Zone (2959); - (909); Kerberos (714); C:\\Windows\\System32\\svchost.exe (571); NtLmSsp (187),Microsoft-Windows-Security-Auditing (3518); end (2959); TRAFFIC (2959); A new process has been created. (1351); 4688 (1351),user042 (6477); - (2190); tmtp-003377$ (693); user002 (3),,10.50.35.8 (1359); 10.14.1.71 (1161); 10.14.1.72 (692); 10.50.11.20 (233); 87.250.251.119 (109),user042_SIEM_2025-12-23.csv; user042_PAN_2025-12-23.csv
user,user047,2025-12-23,low,События: 5499. Диапазон времени: 2025-12-23 00:01:37 — 2025-12-23 23:59:37. Пиковые часы: 11:00 (1459); 09:00 (436); 08:00 (419); 16:00 (383); 14:00 (381). Запуск ПО: Trusted Zone (2813); - (757); C:\\Windows\\System32\\svchost.exe (608); Kerberos (499); NtLmSsp (253). События/ID: TRAFFIC (2813); end (2813); Microsoft-Windows-Security-Auditing (2686); A new process has been created. (1066); 4688 (1066). Сетевые адреса/сайты: 10.14.1.71 (1173); 10.50.33.18 (1070); 10.50.11.20 (275); 135.233.45.223 (139); 172.178.240.163 (122).,,5499,2025-12-23 00:01:37 — 2025-12-23 23:59:37,11:00 (1459); 09:00 (436); 08:00 (419); 16:00 (383); 14:00 (381),Trusted Zone (2813); - (757); C:\\Windows\\System32\\svchost.exe (608); Kerberos (499); NtLmSsp (253),TRAFFIC (2813); end (2813); Microsoft-Windows-Security-Auditing (2686); A new process has been created. (1066); 4688 (1066),user047 (5499); - (1561); tmtp-003146$ (692),,10.14.1.71 (1173); 10.50.33.18 (1070); 10.50.11.20 (275); 135.233.45.223 (139); 172.178.240.163 (122),user047_SIEM_2025-12-23.csv; user047_PAN_2025-12-23.csv
user,user001,2025-12-23,low,События: 27338. Диапазон времени: 2025-12-23 00:00:28 — 2025-12-23 23:59:13. Пиковые часы: 10:00 (2204); 14:00 (1938); 11:00 (1892); 13:00 (1724); 12:00 (1432). Запуск ПО: Outlook-iOS-Android/1.0 (6084); Trusted Zone (5802); - (3376); Kerberos (2958); C:\\Windows\\System32\\svchost.exe (1542). События/ID: Microsoft-Windows-Security-Auditing (10758); TRAFFIC (5802); end (5802); 4624 (3424); An account was successfully logged on. (3424). Сетевые адреса/сайты: 10.14.1.72 (11530); 10.14.1.71 (5666); 10.50.101.5 (2178); 10.10.7.21 (1186); 135.233.45.222 (824).,a.avakian,27338,2025-12-23 00:00:28 — 2025-12-23 23:59:13,10:00 (2204); 14:00 (1938); 11:00 (1892); 13:00 (1724); 12:00 (1432),Outlook-iOS-Android/1.0 (6084); Trusted Zone (5802); - (3376); Kerberos (2958); C:\\Windows\\System32\\svchost.exe (1542),Microsoft-Windows-Security-Auditing (10758); TRAFFIC (5802); end (5802); 4624 (3424); An account was successfully logged on. (3424),user001 (27338); - (6306); tmtp-003672$ (1734); spb-msg01$ (72); spb-msg02$ (42),,10.14.1.72 (11530); 10.14.1.71 (5666); 10.50.101.5 (2178); 10.10.7.21 (1186); 135.233.45.222 (824),user001_SIEM_2025-12-23.csv; user001_PAN_2025-12-23.csv
