entity,date,score_isolation_forest,score_lof,score_isolation_forest_norm,score_lof_norm,score_combined_norm,rank_isolation_forest,rank_lof,rank_combined
tmtp-000112,2025-12-21,0.061445054543410316,261.60616699954136,1.0,1.0,1.0,1.0,1.0,1.0
tmtp-003612,2025-12-21,-0.09513688076911098,-0.16696521697406697,0.4721079337057607,0.0016141524678410005,0.23686104308680087,3.0,3.0,3.0
cplus-010620,2025-12-21,-0.17672255849294555,-0.1893285732842589,0.19705428905837016,0.0015288600688298313,0.0992915745636,6.0,5.0,5.5
tmtp-000392,2025-12-21,-0.19179922908096836,0.007645375049165404,0.1462255981645969,0.0022801060071867335,0.07425285208589182,9.0,2.0,5.5
tmtp-004135,2025-12-21,-0.1938932895246403,-0.2141952129808813,0.13916579338987195,0.0014340203083908,0.07029990684913137,10.0,7.0,8.5
tmtp-003213,2025-12-21,0.02269383933939595,-0.4952940889451747,0.8693561998411189,0.00036192732029978534,0.43485906358070936,2.0,17.0,9.5
tmtp-000085,2025-12-21,-0.20158878802987812,-0.21087921339700744,0.11322159619377707,0.0014466673169929811,0.05733413175538503,13.0,6.0,9.5
tmtp-000126,2025-12-21,-0.20735987301230535,-0.2657082684001528,0.09376526510390615,0.0012375528365067786,0.047501408970206466,14.0,8.0,11.0
tmtp-000565,2025-12-21,-0.20062726040712714,-0.4225680324336205,0.11646323963470095,0.000639299810567061,0.05855126972263401,12.0,12.0,12.0
tmtp-000262,2025-12-21,-0.18739797565295935,-0.5065492031839143,0.16106375150431032,0.00031900104030623314,0.08069137627230828,7.0,18.0,12.5
tmtp-000833,2025-12-21,-0.1473287656362985,-0.5516166871279846,0.2961509697600772,0.00014711656242778152,0.1481490431612525,4.0,23.0,13.5
tmtp-000177,2025-12-21,-0.19732258620096305,-0.49480985577870173,0.12760444370552415,0.0003637741543740799,0.06398410892994912,11.0,16.0,13.5
tmtp-000282,2025-12-21,-0.21433585033768704,-0.30940708432757447,0.07024682360956974,0.0010708883701941502,0.035658855989881943,18.0,9.0,13.5
tmtp-000326,2025-12-21,-0.18988819520418132,-0.5083811652127987,0.1526683568389095,0.0003120140552502505,0.07649018544707988,8.0,20.0,14.0
tmtp-000224,2025-12-21,-0.20785589936291765,-0.4596110107339564,0.09209298806480522,0.000498020279805642,0.04629550417230543,15.0,14.0,14.5
tmtp-003312,2025-12-21,-0.2110449179896624,-0.4368337178268953,0.0813416991056855,0.0005848914063072551,0.04096329525599638,16.0,13.0,14.5
tmtp-003541,2025-12-21,-0.21479521435155097,-0.3109205858795987,0.0686981480361337,0.0010651159728630552,0.03488163200449838,19.0,10.0,14.5
tmtp-004018,2025-12-21,-0.2248919900480092,-0.18059359916093554,0.03465841174934782,0.0015621746969180666,0.018110293223132942,25.0,4.0,14.5
tmtp-000247,2025-12-21,-0.16530878842472363,-0.5573991735621273,0.23553407060849124,0.00012506253201407302,0.11782956657025266,5.0,25.0,15.0
tmtp-003372,2025-12-21,-0.21153022712541159,-0.47907473155587654,0.0797055535187072,0.00042378690358256413,0.04006467021114488,17.0,15.0,16.0
tmtp-004132,2025-12-21,-0.22534979671412086,-0.3558758550106016,0.03311498653586701,0.0008936594750461989,0.017004323005456606,26.0,11.0,18.5
tmtp-000907,2025-12-21,-0.21701007936474148,-0.5066300204620333,0.06123106911644646,0.0003186928084184648,0.030774880962432465,21.0,19.0,20.0
tmtp-003146,2025-12-21,-0.21591380086723433,-0.544282953748074,0.06492700453918815,0.0001750869486705565,0.03255104574392935,20.0,22.0,21.0
tmtp-000143,2025-12-21,-0.2235603944595515,-0.5388529170326257,0.039147682783431226,0.00019579675858259738,0.01967173977100691,24.0,21.0,22.5
cplus-0107994,2025-12-21,-0.21905859543551348,-0.5569999196900636,0.05432481023493223,0.0001265852605388292,0.02722569774773553,23.0,24.0,23.5
tmtp-003560,2025-12-21,-0.2174714683567045,-0.5901901138675963,0.05967556663880339,0.0,0.029837783319401696,22.0,30.0,26.0
tmtp-003672,2025-12-21,-0.23059025525696408,-0.5684946093449204,0.015447581397532469,8.2745255355672e-05,0.007765163326444071,28.0,26.0,27.0
tmtp-000766,2025-12-21,-0.22725687526611138,-0.5763360965022969,0.0266855626346592,5.2838328944849195e-05,0.013369200481802025,27.0,28.0,27.5
tmtp-000187,2025-12-21,-0.23134886737128463,-0.5760754366821681,0.012890036584044076,5.383246869186349e-05,0.0064719345263679695,29.0,27.0,28.0
tmtp-000323,2025-12-21,-0.23517227560840298,-0.5892891079119579,0.0,3.4363786192832244e-06,1.7181893096416122e-06,30.0,29.0,29.5
