entity_type,entity,date,severity,score_combined_norm,rank_combined,score_isolation_forest,score_lof,rank_isolation_forest,rank_lof,top_contributors,contrib1_feature,contrib1_z,contrib1_value,contrib1_baseline_median,contrib2_feature,contrib2_z,contrib2_value,contrib2_baseline_median,contrib3_feature,contrib3_z,contrib3_value,contrib3_baseline_median,contrib4_feature,contrib4_z,contrib4_value,contrib4_baseline_median,contrib5_feature,contrib5_z,contrib5_value,contrib5_baseline_median
host,tmtp-000112,2025-12-31,critical,1.0,1.0,0.02061454132693108,127.44482472776511,1.0,1.0,"siem_unique_destination_addr:-2.70 (v=14, base=18); siem_unique_category:+2.22 (v=2, base=1); siem_unique_source_process:-1.57 (v=38, base=48); pan_share_of_all_events:-0.95 (v=0, base=0); siem_unique_event_class:-0.94 (v=9, base=12)",siem_unique_destination_addr,-2.697963037906381,14.0,18.0,siem_unique_category,2.22332674570829,2.0,1.0,siem_unique_source_process,-1.5738117721120555,38.0,48.5,pan_share_of_all_events,-0.9549383819426756,0.1451406103085734,0.23092243189547815,siem_unique_event_class,-0.9442870632672333,9.0,12.5
host,tmtp-000262,2025-12-31,high,0.16661387575144576,4.0,-0.18018455858697346,0.20205687851529675,6.0,2.0,"siem_unique_hours:-4.05 (v=7, base=13); siem_events_total:-2.93 (v=1520, base=2363); siem_unique_destination_addr:-1.35 (v=3, base=5); siem_unique_name:-0.67 (v=5, base=6); siem_unique_users:-0.67 (v=6, base=7)",siem_unique_hours,-4.046944556859572,7.0,13.0,siem_events_total,-2.9309057228802566,1520.0,2363.0,siem_unique_destination_addr,-1.3489815189531904,3.0,5.0,siem_unique_name,-0.6744907594765952,5.0,6.0,siem_unique_users,-0.6744907594765952,6.0,7.0
host,tmtp-003612,2025-12-31,low,0.13606841330834518,14.5,-0.19674389406636456,-0.514994633297599,8.0,21.0,"siem_events_total:-2.46 (v=1671, base=2739); siem_business_share:+2.42 (v=1, base=1); siem_unique_hours:-1.69 (v=12, base=17); siem_unique_destination_addr:-1.35 (v=3, base=5); siem_unique_name:-0.67 (v=5, base=6)",siem_events_total,-2.458553348535849,1671.0,2739.0,siem_business_share,2.4152845096612814,0.7360861759425493,0.567830154731918,siem_unique_hours,-1.6862268986914881,12.0,17.0,siem_unique_destination_addr,-1.3489815189531904,3.0,5.0,siem_unique_name,-0.6744907594765952,5.0,6.5
host,tmtp-000143,2025-12-31,low,0.017839976506951127,15.5,-0.26817374069573313,-0.14332420090583886,25.0,6.0,"siem_events_total:-2.60 (v=1479, base=2541); siem_unique_source_process:-2.43 (v=16, base=34); siem_night_share:+2.22 (v=0, base=0); siem_unique_event_class:-2.01 (v=5, base=6); siem_business_share:-1.75 (v=0, base=1)",siem_events_total,-2.6000333450604143,1479.0,2541.0,siem_unique_source_process,-2.428166734115743,16.0,34.0,siem_night_share,2.2211996768676676,0.2190669371196754,0.13682977511994684,siem_unique_event_class,-2.006932429798716,5.0,6.0,siem_business_share,-1.7493287909796813,0.4300202839756592,0.5770097513738398
host,tmtp-000392,2025-12-31,low,0.06498498908407584,18.0,-0.23902865680562047,-0.57535060740943,10.0,26.0,"siem_business_share:-0.85 (v=0, base=0); siem_events_total:+0.74 (v=3953, base=3879); siem_night_share:+0.34 (v=0, base=0); day_of_week:-0.34 (v=2, base=3); is_weekend:+0.00 (v=0, base=0)",siem_business_share,-0.8529064248769435,0.3716164938021755,0.3788901312197661,siem_events_total,0.7394417215002673,3953.0,3879.0,siem_night_share,0.33798727334671264,0.2522135087275487,0.2496759231929246,day_of_week,-0.3372453797382976,2.0,3.0,is_weekend,0.0,0.0,0.0
host,tmtp-000085,2025-12-31,low,0.02908455945826059,19.0,-0.2606256243959763,-0.5023573952099007,18.0,20.0,"siem_events_total:-0.65 (v=2137, base=2394); day_of_week:-0.34 (v=2, base=3); siem_unique_source_process:-0.34 (v=30, base=31); siem_business_share:+0.29 (v=1, base=1); siem_night_share:-0.23 (v=0, base=0)",siem_events_total,-0.6492761516456945,2137.0,2394.5,day_of_week,-0.3372453797382976,2.0,3.0,siem_unique_source_process,-0.3372453797382976,30.0,31.0,siem_business_share,0.2866387861274899,0.6663547028544688,0.6552758749022101,siem_night_share,-0.2295320557022251,0.1094992980814225,0.11550196542890084
host,tmtp-004018,2025-12-31,low,0.022991565857265965,19.0,-0.2643581655447847,-0.46117408239097957,22.0,16.0,"siem_night_share:+1.56 (v=0, base=0); siem_unique_destination_addr:-1.37 (v=3, base=4); siem_events_total:-0.43 (v=641, base=666); siem_business_share:-0.40 (v=0, base=0); day_of_week:-0.34 (v=2, base=3)",siem_night_share,1.5553452220007378,0.235569422776911,0.2071389960810222,siem_unique_destination_addr,-1.373754612497413,3.0,4.0,siem_events_total,-0.4299878591663295,641.0,666.5,siem_business_share,-0.3950574899779468,0.4087363494539781,0.42063636088679185,day_of_week,-0.3372453797382976,2.0,3.0
host,tmtp-000323,2025-12-31,low,0.012092067897147693,19.5,-0.27100761302086745,-0.3993165944307171,26.0,13.0,"siem_night_share:+1.87 (v=0, base=0); siem_business_share:-1.47 (v=0, base=0); siem_events_total:-1.40 (v=2768, base=3426); siem_unique_destination_addr:-0.67 (v=4, base=5); siem_unique_source_process:-0.67 (v=31, base=33)",siem_night_share,1.867527648627661,0.2481936416184971,0.19710538445540932,siem_business_share,-1.4687010315184459,0.4017341040462427,0.49602373288581986,siem_events_total,-1.4011932839047752,2768.0,3425.5,siem_unique_destination_addr,-0.6744907594765952,4.0,5.0,siem_unique_source_process,-0.6744907594765952,31.0,33.0
host,tmtp-004132,2025-12-31,low,0.019264432393217096,20.5,-0.26656545905000284,-0.46855721533462646,24.0,17.0,"siem_night_share:-0.35 (v=0, base=0); day_of_week:-0.34 (v=2, base=3); siem_events_total:-0.33 (v=635, base=658); siem_business_share:+0.04 (v=0, base=0); is_weekend:+0.00 (v=0, base=0)",siem_night_share,-0.3500094734882805,0.2125984251968504,0.2213794800785724,day_of_week,-0.3372453797382976,2.0,3.0,siem_events_total,-0.3300699461268445,635.0,658.0,siem_business_share,0.04000273969448847,0.3968503937007874,0.39564301877304725,is_weekend,0.0,0.0,0.0
host,TMTP-000023-NB,2025-12-31,low,0.02081493479296898,21.0,-0.2655676886467877,-0.49960354366808524,23.0,19.0,"siem_unique_name:-1.35 (v=3, base=13); siem_unique_event_class:-1.01 (v=3, base=9); siem_business_share:-0.75 (v=0, base=1); siem_night_share:+0.74 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=5, base=6)",siem_unique_name,-1.3489815189531904,3.0,13.0,siem_unique_event_class,-1.011736139214893,3.0,9.0,siem_business_share,-0.7458395733330172,0.4033264033264033,0.6359163591635917,siem_night_share,0.7440333117846704,0.2494802494802495,0.1567852437417654,siem_unique_destination_addr,-0.6744907594765952,5.0,6.0
