entity,date,score_isolation_forest,score_lof,score_isolation_forest_norm,score_lof_norm,score_combined_norm,rank_isolation_forest,rank_lof,rank_combined
user090,2025-12-21,0.049709138912524486,-0.20082478948047155,1.0,0.4400709000124313,0.7200354500062156,1.0,2.0,1.5
user003,2025-12-21,0.03708840305765593,0.087972730543173,0.937075450453835,1.0,0.9685377252269175,2.0,1.0,1.5
user007,2025-12-21,0.013990882543953309,-0.40795531299374077,0.8219156776266919,0.03848016751153131,0.4301979225691116,3.0,14.0,8.5
user041,2025-12-21,0.009214971646789527,-0.3884240900111826,0.7981039090156943,0.07634787532766818,0.43722589217168123,6.0,11.0,8.5
user043,2025-12-21,0.007300995306511071,-0.3991136515762761,0.78856119293012,0.05562263992428084,0.4220919164272004,7.0,12.0,9.5
user001,2025-12-21,-0.0611565802752273,-0.25051486307124904,0.44724495305004086,0.3437303283145782,0.39548764068230957,16.0,4.0,10.0
user044,2025-12-21,0.006667594418509948,-0.40513926005490863,0.785403178530806,0.04394001352208061,0.4146715960264433,9.0,13.0,11.0
user053,2025-12-21,-0.06526060180628945,-0.2560732237454415,0.4267830949508375,0.33295361565633913,0.3798683553035883,17.0,5.0,11.0
user051,2025-12-21,-0.097779165169951,-0.22740300019083626,0.2646518234404302,0.38854028575675476,0.3265960545985925,21.0,3.0,12.0
user006,2025-12-21,-0.0722513490902682,-0.2863279014183815,0.39192858021461885,0.2742949594516864,0.3331117698331526,18.0,7.0,12.5
user011,2025-12-21,-0.0832052682251112,-0.27266760286652114,0.3373144566602287,0.30077994683342857,0.31904720174682866,19.0,6.0,12.5
user046,2025-12-21,0.004342861508237372,-0.40893763106057834,0.7738125095812125,0.03657562043986374,0.4051940650105381,11.0,15.0,13.0
user027,2025-12-21,0.010228606757335945,-0.41579667654364416,0.8031576977542254,0.023277101935299003,0.4132173998447622,4.0,22.5,13.25
user005,2025-12-21,0.009282569663546236,-0.41579667654364416,0.7984409396614144,0.023277101935299003,0.4108590207983567,5.0,22.5,13.75
user039,2025-12-21,0.0069149919877630195,-0.41579667654364383,0.7866366549923279,0.023277101935299648,0.4049568784638138,8.0,20.0,14.0
user096,2025-12-21,-0.08739762035396498,-0.30354272654659886,0.31641219927360686,0.24091835171732304,0.27866527549546494,20.0,9.0,14.5
user008,2025-12-21,-0.10837834559108855,-0.30179608583208584,0.21180635854613633,0.24430478994989113,0.22805557424801373,22.0,8.0,15.0
user010,2025-12-21,0.005159373470266515,-0.41579667654364405,0.7778834804026103,0.023277101935299218,0.40058029116895477,10.0,21.0,15.5
user040,2025-12-21,-0.044720664852132,-0.41382899334441703,0.529191250498155,0.027092103818672875,0.2781416771584139,15.0,17.0,16.0
user037,2025-12-21,-0.11242692537980326,-0.38047518743115427,0.19162092225810037,0.09175944072878288,0.14169018149344162,23.0,10.0,16.5
user050,2025-12-21,0.0037591725564144474,-0.4175259355743324,0.7709023492870041,0.019924363820998877,0.39541335655400145,12.0,25.0,18.5
user089,2025-12-21,0.0035486891219969063,-0.41586220797808515,0.7698529195667438,0.023150047668681912,0.39650148361771287,13.0,24.0,18.5
user038,2025-12-21,0.000456432966028264,-0.4196955329623674,0.7544355280664993,0.015717884787805083,0.3850767064271522,14.0,26.0,20.0
user019,2025-12-21,-0.13481770211342198,-0.40934895408102256,0.0799848373139564,0.035778135306949004,0.0578814863104527,25.0,16.0,20.5
user022,2025-12-21,-0.12539223581394776,-0.4146425446631119,0.12697839046150786,0.025514766666909165,0.07624657856420851,24.0,19.0,21.5
user055,2025-12-21,-0.13953650445075594,-0.41419094476368024,0.056457800943918814,0.02639034179380965,0.04142407136886423,27.0,18.0,22.5
user004,2025-12-21,-0.1358616806422963,-0.42108892110486085,0.07477976215663551,0.013016342999995288,0.0438980525783154,26.0,27.0,26.5
user075,2025-12-21,-0.15086020875692963,-0.4278024274724692,0.0,0.0,0.0,28.0,28.0,28.0
