entity_type,entity,date,severity,top_contributors,real_user,event_count,time_range,top_hours,top_programs,top_event_names,top_users,top_hosts,top_addresses,source_files
user,user003,2025-12-21,critical,"pan_night_share:+17.57 (v=1, base=0); siem_business_share:-6.93 (v=0, base=1); pan_business_share:-3.57 (v=0, base=1); is_weekend:+2.13 (v=1, base=0); siem_night_share:+2.11 (v=0, base=0)",,543,2025-12-21 00:00:13 — 2025-12-21 17:33:26,08:00 (258); 00:00 (256); 01:00 (17); 17:00 (4); 10:00 (4),Trusted Zone (202); - (95); Kerberos (90); C:\\Windows\\System32\\svchost.exe (48); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (13),Microsoft-Windows-Security-Auditing (341); end (202); TRAFFIC (202); An account was logged off. (96); 4634 (96),user003 (543); - (190); tmtp-003612$ (52),,10.14.1.71 (167); 10.14.1.72 (98); 10.50.30.9 (58); 135.234.160.244 (50); 135.234.160.246 (34),user003_SIEM_2025-12-21.csv; user003_PAN_2025-12-21.csv
user,user090,2025-12-21,critical,"pan_unique_destination_addr:-4.93 (v=0, base=326); pan_business_share:-4.78 (v=0, base=0); siem_unique_event_class:+4.05 (v=15, base=9); pan_night_share:-3.95 (v=0, base=0); siem_night_share:+3.04 (v=0, base=0)",,7963,2025-12-21 00:00:07 — 2025-12-21 23:58:48,01:00 (802); 03:00 (711); 23:00 (693); 02:00 (385); 19:00 (360),- (1640); Kerberos (1568); Apple-iPhone14C3/2207.100 (1245); C:\\Windows\\System32\\svchost.exe (171); C:\\Program Files (x86)\\Adobe\\Acrobat Reader DC\\Reader\\AdobeCollabSync.exe (97),Microsoft-Windows-Security-Auditing (5298); 4624 (1640); An account was successfully logged on. (1640); Group membership information. (1599); 4627 (1599),user090 (7963); - (3389); tmtp-000833$ (220); spb-msg01$ (39); spb-msg02$ (36),,10.14.1.71 (5453); 10.14.1.72 (1858); 10.50.30.77 (420); 10.10.7.21 (102); 10.37.7.77 (24),user090_SIEM_2025-12-21.csv
user,user096,2025-12-21,low,"pan_unique_hours:-3.93 (v=12, base=24); pan_night_share:+3.40 (v=1, base=0); pan_share_of_all_events:-2.86 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); pan_unique_destination_addr:-2.12 (v=173, base=369)",,7228,2025-12-21 00:00:05 — 2025-12-21 23:58:51,11:00 (398); 05:00 (397); 07:00 (380); 03:00 (375); 01:00 (363),- (2159); Kerberos (1351); Trusted Zone (1192); NtLmSsp (765); C:\\Windows\\System32\\svchost.exe (711),Microsoft-Windows-Security-Auditing (5674); An account was successfully logged on. (2159); 4624 (2159); 4627 (1342); Group membership information. (1342),user096 (7228); - (3455); tmtp-003372$ (730); spb-msg02$ (66); spb-msg01$ (63),,10.14.1.71 (4117); 10.50.11.20 (777); 10.50.21.59 (770); 10.14.1.72 (242); 135.233.45.223 (152),user096_SIEM_2025-12-21.csv; user096_PAN_2025-12-21.csv
user,user008,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); pan_unique_event_class:+2.15 (v=3, base=2); day_of_week:+1.57 (v=6, base=2); pan_share_of_all_events:-1.50 (v=0, base=0); siem_night_share:+1.21 (v=0, base=0)",,12844,2025-12-21 00:00:16 — 2025-12-21 23:59:51,19:00 (757); 11:00 (672); 23:00 (631); 07:00 (625); 13:00 (594),- (3367); Kerberos (3327); Trusted Zone (2002); Outlook-iOS-Android/1.0 (1251); C:\\Windows\\System32\\svchost.exe (606),Microsoft-Windows-Security-Auditing (8862); An account was successfully logged on. (3369); 4624 (3369); An account was logged off. (3273); 4634 (3273),user008 (11940); - (4920); user009 (904); tmtp-000320$ (614); spb-msg01$ (12),,10.50.11.6 (3820); 10.14.1.72 (3013); 10.14.1.71 (2714); 10.50.108.14 (820); 10.10.7.21 (281),user008_SIEM_2025-12-21.csv; user008_PAN_2025-12-21.csv
user,user010,2025-12-21,low,"pan_unique_name:-3.28 (v=0, base=1); pan_unique_hours:-3.08 (v=0, base=24); pan_business_share:-2.91 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); pan_share_of_all_events:-2.28 (v=0, base=0)",,5954,2025-12-21 00:00:30 — 2025-12-21 23:59:57,11:00 (333); 07:00 (313); 19:00 (306); 23:00 (290); 12:00 (260),- (1456); Kerberos (1435); C:\\Windows\\System32\\svchost.exe (493); Android-Mail/2025.11.17.834797744.Release (463); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (180),Microsoft-Windows-Security-Auditing (5011); 4624 (1456); An account was successfully logged on. (1456); An account was logged off. (1432); 4634 (1432),user010 (5954); - (2985); tmtp-000766$ (523); spb-msg02$ (33); spb-msg01$ (30),,10.14.1.71 (2939); 10.14.1.72 (2191); 10.50.30.56 (665); 10.10.7.21 (91); 10.50.11.35 (15),user010_SIEM_2025-12-21.csv
user,user040,2025-12-21,low,"pan_share_of_all_events:-4.98 (v=0, base=0); pan_business_share:-2.48 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); pan_unique_destination_addr:-2.12 (v=1, base=190); pan_events_total:-1.85 (v=1, base=2176)",,4007,2025-12-21 00:00:26 — 2025-12-21 23:59:00,09:00 (202); 15:00 (196); 21:00 (193); 11:00 (178); 07:00 (177),- (1266); Kerberos (1069); NtLmSsp (192); C:\\Windows\\System32\\svchost.exe (135); \\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1 (97),Microsoft-Windows-Security-Auditing (3940); 4624 (1269); An account was successfully logged on. (1269); 4627 (1088); Group membership information. (1088),user040 (4007); - (2577); tmtp-000224$ (244); spb-msg01$ (12); spb-msg02$ (12),,10.14.1.71 (3183); 10.50.21.38 (480); 10.50.11.20 (168); 10.14.1.72 (130); 10.37.7.77 (12),user040_SIEM_2025-12-21.csv; user040_PAN_2025-12-21.csv
user,user037,2025-12-21,low,"is_weekend:+2.53 (v=1, base=0); pan_night_share:+2.51 (v=0, base=0); day_of_week:+1.80 (v=6, base=2); siem_night_share:+1.66 (v=0, base=0); siem_unique_event_class:+0.67 (v=6, base=5)",,5222,2025-12-21 00:00:05 — 2025-12-21 18:57:51,07:00 (561); 08:00 (505); 15:00 (444); 09:00 (398); 10:00 (355),Trusted Zone (2166); Kerberos (934); - (927); C:\\Windows\\System32\\svchost.exe (577); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (188),Microsoft-Windows-Security-Auditing (3056); end (2166); TRAFFIC (2166); An account was successfully logged on. (1118); 4624 (1118),user037 (5222); - (1816); tmtp-000262$ (646),,10.14.1.71 (1360); 10.50.30.240 (765); 10.14.1.72 (364); 10.50.11.20 (212); 10.50.11.16 (113),user037_SIEM_2025-12-21.csv; user037_PAN_2025-12-21.csv
user,user050,2025-12-21,low,"pan_unique_event_class:-2.64 (v=0, base=1); pan_unique_name:-2.64 (v=0, base=1); pan_share_of_all_events:-2.43 (v=0, base=1); pan_unique_hours:-2.39 (v=0, base=24); is_weekend:+2.32 (v=1, base=0)",,2704,2025-12-21 00:00:32 — 2025-12-21 23:58:54,08:00 (141); 09:00 (123); 11:00 (123); 15:00 (121); 03:00 (119),"- (803); Kerberos (686); C:\\Windows\\System32\\svchost.exe (602); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (175); ""C:\\Users\\M.Gitalova\\AppData\\Local\\Microsoft\\OneDrive\\25.222.1112.0002_1\\FileCoAuth.exe"" -Embedding (148)",Microsoft-Windows-Security-Auditing (2704); 4624 (803); An account was successfully logged on. (803); A new process has been created. (645); 4688 (645),user050 (2704); - (1469); tmtp-000282$ (607),,10.14.1.72 (1545); 10.50.30.15 (645); 10.14.1.71 (327); 10.50.11.20 (145); 10.50.11.35 (16),user050_SIEM_2025-12-21.csv
user,user089,2025-12-21,low,"pan_unique_name:-5.48 (v=0, base=1); pan_unique_hours:-4.72 (v=0, base=18); pan_unique_event_class:-2.89 (v=0, base=2); pan_business_share:-2.62 (v=0, base=1); is_weekend:+2.32 (v=1, base=0)",,2568,2025-12-21 00:02:21 — 2025-12-21 23:34:15,11:00 (379); 13:00 (274); 19:00 (258); 15:00 (208); 07:00 (127),Outlook-iOS-Android/1.0 (1684); Advapi (9); - (9); KDC_ERR_NONE (2),Microsoft-Windows-Security-Auditing (40); An account was successfully logged on. (9); An account was logged off. (9); Group membership information. (9); 4648 (9),user089 (2568); spb-msg02$ (18); spb-msg01$ (9),,10.14.1.71 (1579); 10.14.1.72 (719); 10.10.7.21 (257); 10.37.2.7 (3); 10.37.2.5 (1),user089_SIEM_2025-12-21.csv
user,user038,2025-12-21,low,"pan_unique_name:-999.00 (v=0, base=1); pan_unique_hours:-10.73 (v=0, base=24); siem_unique_source_process:-4.38 (v=6, base=26); pan_share_of_all_events:-3.94 (v=0, base=0); pan_business_share:-3.78 (v=0, base=0)",,4038,2025-12-21 00:01:11 — 2025-12-21 23:59:12,11:00 (401); 19:00 (366); 15:00 (221); 23:00 (214); 13:00 (206),Outlook-iOS-Android/1.0 (1585); - (520); Kerberos (513); C:\\Windows\\System32\\svchost.exe (102); taskhostw.exe Install $(Arg0) (51),Microsoft-Windows-Security-Auditing (1659); 4624 (520); An account was successfully logged on. (520); Group membership information. (500); 4627 (500),user038 (4038); - (1032); tmtp-000177$ (103); spb-msg02$ (15); spb-msg01$ (6),,10.14.1.72 (2142); 10.14.1.71 (1478); 10.10.7.21 (246); 10.50.39.11 (129); 10.50.11.35 (16),user038_SIEM_2025-12-21.csv
