entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events
user001,2025-12-01,0,0,25850,22,29,8,1,10,24,0.13408123791102514,0.5689748549323017,9060,449,3,0,1,24,0.15077262693156732,0.5342163355408388,0.2595244915496992
user001,2025-12-02,1,0,26098,23,25,11,2,13,24,0.14782741972564947,0.5877078703348916,3138,248,3,0,1,21,0.5270873167622689,0.08795411089866156,0.10733342454508141
user001,2025-12-03,2,0,25512,24,30,9,1,10,24,0.14283474443399186,0.5293979303857008,3412,272,3,0,1,22,0.05509964830011723,0.3141852286049238,0.1179643202876504
user001,2025-12-04,3,0,31132,23,34,10,2,13,24,0.12148271874598483,0.5910317358345111,6668,435,3,0,1,23,0.30503899220155967,0.48260347930413916,0.1764021164021164
user001,2025-12-05,4,0,25808,25,29,11,2,11,24,0.16460012399256044,0.5191413515189088,2560,173,3,0,1,22,0.121875,0.571875,0.09024252679075014
user001,2025-12-06,5,1,19368,20,25,17,1,20,24,0.1819496076001652,0.4704667492771582,726,110,3,0,1,22,0.1046831955922865,0.6170798898071626,0.03613018811585548
user001,2025-12-07,6,1,19374,26,47,18,2,21,24,0.19314545266852481,0.5183235263755549,4384,310,2,0,1,23,0.0843978102189781,0.6692518248175182,0.1845273171142352
user001,2025-12-08,0,0,20752,26,30,11,2,11,24,0.11372397841171936,0.5793176561295297,7386,408,2,0,1,24,0.16517736257784998,0.503655564581641,0.2624920036960694
user001,2025-12-09,1,0,21238,23,29,10,1,12,24,0.155476033524814,0.5258498917035502,9752,551,2,0,1,24,0.16283839212469237,0.45652173913043476,0.3146821555340432
user001,2025-12-10,2,0,20932,23,32,10,2,12,24,0.15870437607490923,0.511752340913434,7214,406,3,0,1,24,0.2093152204047685,0.43193789853063486,0.2563064023307042
user001,2025-12-11,3,0,22226,23,33,10,1,12,24,0.15612345901196797,0.5202915504364258,8944,470,2,0,1,24,0.15742397137745975,0.49127906976744184,0.28694257298684633
user001,2025-12-12,4,0,20600,23,37,10,2,10,24,0.171747572815534,0.5051456310679612,10478,455,3,0,1,24,0.12235159381561367,0.6033594197365909,0.33715168286247504
user001,2025-12-13,5,1,18276,14,13,9,2,9,24,0.18461370102867147,0.4413438389144233,7114,385,3,0,1,24,0.21535001405678944,0.3947146471745853,0.28018905080740447
user001,2025-12-14,6,1,19210,20,20,18,1,20,24,0.19167100468505988,0.4475793857365955,7572,359,3,0,1,24,0.22636027469624934,0.3560486001056524,0.28272720483907104
user001,2025-12-15,0,0,23216,24,30,9,1,9,24,0.16548931771192282,0.5276533425223984,8896,466,2,0,1,24,0.1931205035971223,0.47819244604316546,0.27703039362232185
user001,2025-12-16,1,0,23676,23,32,9,1,9,24,0.14858928873120458,0.614968744720392,7518,375,2,0,1,24,0.16174514498536846,0.5583931896781059,0.24100788613194846
user001,2025-12-17,2,0,20030,21,58,10,1,10,24,0.07878182725911133,0.5943085371942087,7128,439,1,0,1,24,0.10942760942760943,0.5277777777777778,0.2624640989763606
user001,2025-12-18,3,0,22166,23,36,9,1,9,24,0.12695118650184967,0.5663628981322747,6490,399,1,0,1,23,0.14791987673343607,0.5318952234206471,0.22647962032384142
user001,2025-12-19,4,0,21470,22,30,9,1,9,24,0.1561248253376805,0.5463437354448067,5190,319,1,0,1,23,0.2003853564547206,0.43082851637764935,0.1946736684171043
user001,2025-12-20,5,1,20168,26,27,21,1,22,24,0.1849464498214994,0.4702499008330028,4924,282,1,0,1,24,0.24248578391551584,0.3489033306255077,0.1962378447313885
user001,2025-12-21,6,1,19334,20,26,20,1,22,24,0.16964932243715733,0.45567394227785246,3626,250,1,0,1,18,0.2713734142305571,0.5432984004412575,0.15792682926829268
user001,2025-12-22,0,0,22712,18,31,9,1,9,24,0.15427967594223319,0.4464600211342022,3832,286,1,0,1,16,0.0,0.6111691022964509,0.14436407474382157
user001,2025-12-23,1,0,21536,23,34,9,1,9,24,0.16669762258543833,0.5164375928677564,5802,331,1,0,1,24,0.21165115477421578,0.432609445018959,0.2122320579413271
user001,2025-12-24,2,0,24004,22,29,10,2,10,24,0.11656390601566406,0.6031494750874854,8636,492,2,0,1,24,0.18040759610930987,0.48193608151922185,0.26458333333333334
user001,2025-12-25,3,0,17910,21,30,8,1,8,24,0.1577889447236181,0.5018425460636516,6964,379,3,0,1,24,0.18696151636990235,0.40436530729465825,0.27997105411272816
user001,2025-12-26,4,0,20560,22,36,11,2,11,24,0.14182879377431906,0.5363813229571984,7374,429,2,0,1,24,0.20802820721453757,0.41442907512883104,0.2639793799670652
user001,2025-12-27,5,1,14686,14,13,7,1,7,24,0.19297289935993464,0.4547187797902765,6688,366,3,0,1,24,0.2117224880382775,0.44766746411483255,0.3129035276504164
user001,2025-12-28,6,1,15348,14,16,8,2,8,24,0.20771436017722178,0.44983059682043264,6664,354,3,0,1,24,0.24579831932773108,0.42466986794717887,0.3027439578411775
user001,2025-12-29,0,0,22412,23,36,9,1,9,24,0.12653935391754417,0.587096198465108,7726,441,2,0,1,24,0.1397877297437225,0.4897747864354129,0.25635410445285023
user001,2025-12-30,1,0,16748,22,29,11,2,11,24,0.16467637926916648,0.5890852639121089,7102,385,2,0,1,24,0.1667136018023092,0.6043368065333709,0.29777777777777775
