entity_type,entity,date,severity,score_combined_norm,rank_combined,score_isolation_forest,score_lof,rank_isolation_forest,rank_lof,top_contributors,contrib1_feature,contrib1_z,contrib1_value,contrib1_baseline_median,contrib2_feature,contrib2_z,contrib2_value,contrib2_baseline_median,contrib3_feature,contrib3_z,contrib3_value,contrib3_baseline_median,contrib4_feature,contrib4_z,contrib4_value,contrib4_baseline_median,contrib5_feature,contrib5_z,contrib5_value,contrib5_baseline_median
user,user054,2025-12-31,high,0.6849872952344256,2.5,-0.05718842065661889,0.24345038423085663,4.0,1.0,"siem_events_total:-4.60 (v=711, base=6270); siem_night_share:+3.67 (v=0, base=0); pan_share_of_all_events:+3.66 (v=1, base=0); siem_unique_destination_addr:-3.54 (v=6, base=16); pan_unique_destination_addr:-2.97 (v=94, base=369)",siem_events_total,-4.603844539361733,711.0,6270.5,siem_night_share,3.6741068098971357,0.4008438818565401,0.21005397935354675,pan_share_of_all_events,3.6607677851828964,0.626379400945875,0.35830791085078484,siem_unique_destination_addr,-3.5410764872521248,6.0,16.5,pan_unique_destination_addr,-2.9677593416970187,94.0,369.0
user,user016,2025-12-31,high,0.3926848583606059,4.0,-0.09751010295749529,-0.03723951728369013,6.0,2.0,"pan_business_share:-3.65 (v=0, base=0); siem_unique_source_process:-3.37 (v=1, base=6); pan_unique_destination_addr:-2.98 (v=41, base=302); siem_events_total:-2.92 (v=2209, base=6826); siem_unique_destination_addr:-2.22 (v=5, base=16)",pan_business_share,-3.647263083743927,0.0732984293193717,0.4932178164114943,siem_unique_source_process,-3.3724537973829762,1.0,6.0,pan_unique_destination_addr,-2.9837642071761246,41.0,302.0,siem_events_total,-2.9216332850686477,2209.0,6826.5,siem_unique_destination_addr,-2.216183923994527,5.0,16.5
user,user017,2025-12-31,high,0.639913314555163,4.0,0.09517161787077588,-0.2403011224658218,1.0,7.0,"siem_unique_source_process:-18.55 (v=0, base=55); siem_business_share:-11.28 (v=0, base=1); siem_unique_destination_addr:-7.42 (v=1, base=18); siem_events_total:-7.15 (v=6, base=2672); siem_unique_name:-6.74 (v=1, base=6)",siem_unique_source_process,-18.548495885606368,0.0,55.0,siem_business_share,-11.277431646440265,0.0,0.7596846633184202,siem_unique_destination_addr,-7.419398354242547,1.0,17.5,siem_events_total,-7.148529301729083,6.0,2671.5,siem_unique_name,-6.7449075947659525,1.0,6.0
user,user018,2025-12-31,high,0.5226160759921357,4.0,0.017951243830657937,-0.1833932582140505,3.0,5.0,"siem_unique_event_class:+3.04 (v=19, base=10); siem_unique_category:+2.64 (v=2, base=1); siem_unique_name:+2.47 (v=21, base=10); siem_night_share:+1.44 (v=0, base=0); pan_share_of_all_events:+1.10 (v=1, base=1)",siem_unique_event_class,3.0352084176446783,19.0,10.0,siem_unique_category,2.6381811916545836,2.0,1.0,siem_unique_name,2.4731327847475155,21.0,10.0,siem_night_share,1.4428660988498905,0.3093938523412812,0.1569707524469135,pan_share_of_all_events,1.1016196449935263,0.9538414617975444,0.8113690335265069
user,user015,2025-12-31,low,0.130524725091104,10.0,-0.1204434521107704,-0.32573344169722107,9.0,11.0,"siem_unique_event_class:+6.07 (v=17, base=8); siem_unique_name:+3.71 (v=20, base=9); pan_unique_hours:+1.04 (v=24, base=14); siem_events_total:+0.65 (v=5471, base=4714); siem_night_share:+0.56 (v=0, base=0)",siem_unique_event_class,6.070416835289357,17.0,8.0,siem_unique_name,3.7096991771212737,20.0,9.0,pan_unique_hours,1.0376780915024542,24.0,14.0,siem_events_total,0.6487795488231036,5471.0,4714.0,siem_night_share,0.5603384270317029,0.2323158471942972,0.19734608656728725
user,user025,2025-12-31,low,0.12977243272694255,10.5,-0.1304543083128774,-0.2989377762688703,12.0,9.0,"siem_night_share:-5.01 (v=0, base=0); pan_unique_hours:-3.37 (v=12, base=22); pan_night_share:-3.14 (v=0, base=0); siem_events_total:-2.29 (v=1483, base=4194); pan_unique_destination_addr:-2.04 (v=228, base=325)",siem_night_share,-5.0086505305545135,0.0,0.1900133409567372,pan_unique_hours,-3.3724537973829762,12.0,22.0,pan_night_share,-3.1377245278526114,0.0,0.2186580042635265,siem_events_total,-2.294284126651254,1483.0,4194.0,pan_unique_destination_addr,-2.044550114663429,228.0,325.0
user,user023,2025-12-31,low,0.10311036476554974,12.5,-0.1246700411907386,-0.350822891863126,11.0,14.0,"siem_unique_destination_addr:-2.70 (v=13, base=17); siem_unique_category:+2.22 (v=2, base=1); siem_unique_source_process:-1.08 (v=16, base=24); siem_unique_event_class:-0.94 (v=8, base=12); pan_events_total:-0.94 (v=1698, base=3445)",siem_unique_destination_addr,-2.697963037906381,13.0,17.0,siem_unique_category,2.22332674570829,2.0,1.0,siem_unique_source_process,-1.0791852151625523,16.0,24.0,siem_unique_event_class,-0.9442870632672333,8.0,11.5,pan_events_total,-0.9396613690634863,1698.0,3445.0
user,user014,2025-12-31,low,0.08330948660881046,13.0,-0.13984654181010714,-0.3352695028125321,13.0,13.0,"siem_unique_destination_addr:-2.70 (v=11, base=15); siem_unique_source_process:-2.14 (v=16, base=26); siem_unique_event_class:-2.02 (v=6, base=9); pan_night_share:+1.68 (v=0, base=0); siem_night_share:+1.64 (v=0, base=0)",siem_unique_destination_addr,-2.697963037906381,11.0,15.0,siem_unique_source_process,-2.135887405009218,16.0,25.5,siem_unique_event_class,-2.023472278429786,6.0,9.0,pan_night_share,1.6791796285136944,0.2577388963660834,0.1568106895806312,siem_night_share,1.6354445298021163,0.2262818544673012,0.15277922144597575
user,user008,2025-12-31,low,0.05416370406150981,14.0,-0.1204629714599929,-0.4282649641151546,10.0,18.0,"siem_events_total:-1.07 (v=2354, base=4602); siem_unique_event_class:-0.67 (v=5, base=6); siem_unique_name:-0.67 (v=5, base=6); siem_night_share:-0.67 (v=0, base=0); pan_night_share:-0.67 (v=0, base=0)",siem_events_total,-1.0677853713404126,2354.0,4602.0,siem_unique_event_class,-0.6744907594765952,5.0,5.5,siem_unique_name,-0.6744907594765952,5.0,6.0,siem_night_share,-0.6744907594765952,0.0,0.0002148689299527,pan_night_share,-0.6744907594765952,0.0,0.03304096582783905
user,user009,2025-12-31,low,0.08323077549979056,14.0,-0.14665995943144405,-0.3164501853992536,18.0,10.0,"siem_night_share:+3.01 (v=0, base=0); pan_unique_event_class:+1.71 (v=3, base=2); pan_night_share:+1.48 (v=0, base=0); pan_share_of_all_events:-1.42 (v=1, base=1); pan_events_total:-1.20 (v=9809, base=14308)",siem_night_share,3.014259412643554,0.2029695833933977,0.17182705867638595,pan_unique_event_class,1.714406366410598,3.0,2.0,pan_night_share,1.4841406834475321,0.2901417065959832,0.19536112558491295,pan_share_of_all_events,-1.4209597283301096,0.585751821330467,0.641524706452474,pan_events_total,-1.2045529558503434,9809.0,14308.5
