entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events,siem_unique_users,pan_unique_users
TMTP-000023-NB,2025-12-01,0,0,847,10,10,13,1,18,15,0.0,0.8736717827626919,0,0,0,0,0,0,0.0,0.0,0.0,13,0
TMTP-000023-NB,2025-12-02,1,0,627,5,6,5,1,6,24,0.1993620414673046,0.4385964912280701,0,0,0,0,0,0,0.0,0.0,0.0,4,0
TMTP-000023-NB,2025-12-03,2,0,602,6,7,6,1,7,24,0.1910299003322259,0.5182724252491694,0,0,0,0,0,0,0.0,0.0,0.0,4,0
TMTP-000023-NB,2025-12-04,3,0,9542,9,8,10,1,17,24,0.0138335778662754,0.9652064556696708,0,0,0,0,0,0,0.0,0.0,0.0,10,0
TMTP-000023-NB,2025-12-05,4,0,3502,5,9,9,1,16,15,0.0351227869788692,0.9466019417475728,0,0,0,0,0,0,0.0,0.0,0.0,11,0
TMTP-000023-NB,2025-12-08,0,0,2566,0,0,0,0,1,3,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
TMTP-000023-NB,2025-12-10,2,0,1390,5,7,10,1,15,15,0.0,0.9129496402877698,0,0,0,0,0,0,0.0,0.0,0.0,6,0
TMTP-000023-NB,2025-12-11,3,0,6178,10,9,13,1,17,24,0.045645840077695,0.8988345742958886,0,0,0,0,0,0,0.0,0.0,0.0,12,0
TMTP-000023-NB,2025-12-12,4,0,440,7,7,10,1,13,19,0.25,0.6,0,0,0,0,0,0,0.0,0.0,0.0,4,0
TMTP-000023-NB,2025-12-15,0,0,955,4,7,10,1,14,15,0.0,0.8806282722513089,0,0,0,0,0,0,0.0,0.0,0.0,14,0
TMTP-000023-NB,2025-12-16,1,0,942,7,5,6,1,6,24,0.1836518046709129,0.4766454352441613,0,0,0,0,0,0,0.0,0.0,0.0,4,0
TMTP-000023-NB,2025-12-17,2,0,196,6,6,10,1,13,6,0.1938775510204081,0.8061224489795918,0,0,0,0,0,0,0.0,0.0,0.0,6,0
TMTP-000023-NB,2025-12-18,3,0,544,9,9,14,1,18,18,0.1305147058823529,0.6433823529411765,0,0,0,0,0,0,0.0,0.0,0.0,7,0
TMTP-000023-NB,2025-12-19,4,0,649,7,9,13,1,17,11,0.0,0.6687211093990755,0,0,0,0,0,0,0.0,0.0,0.0,5,0
TMTP-000023-NB,2025-12-22,0,0,449,7,8,13,1,17,15,0.0,0.7594654788418709,0,0,0,0,0,0,0.0,0.0,0.0,7,0
TMTP-000023-NB,2025-12-23,1,0,813,6,6,5,1,6,24,0.1353013530135301,0.6359163591635917,0,0,0,0,0,0,0.0,0.0,0.0,4,0
TMTP-000023-NB,2025-12-24,2,0,581,6,6,4,1,4,24,0.2082616179001721,0.4716006884681583,0,0,0,0,0,0,0.0,0.0,0.0,3,0
