entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events
user001,2025-12-08,0,0,9843,20,0,0,0,12,24,0.16478715838667074,0.5655795997155338,8091,348,0,0,1,24,0.2489185514769497,0.4078605858361142,0.45115423218467715
user001,2025-12-09,1,0,11552,23,0,0,0,16,24,0.15157548476454294,0.6110630193905817,7999,494,0,0,1,24,0.23990498812351543,0.5355669458682335,0.40913508260447035
user001,2025-12-10,2,0,9868,19,0,0,0,11,24,0.1687271990271585,0.5599918929874341,5434,427,0,0,1,24,0.09422156790577843,0.47037173352962824,0.35511697817278787
user001,2025-12-11,3,0,10329,19,0,0,0,11,24,0.17533159066705392,0.5538774324716816,8662,369,0,0,1,24,0.23089355806972986,0.3969060263218656,0.4561107893212574
user001,2025-12-12,4,0,11757,21,0,0,0,10,24,0.15760823339287233,0.5227524028238496,10500,385,0,0,1,24,0.17457142857142857,0.4806666666666667,0.47176169295053244
user001,2025-12-13,5,1,6936,15,0,0,0,8,24,0.24726066897347174,0.40426758938869667,8780,300,0,0,1,24,0.24521640091116173,0.38394077448747155,0.5586663273097481
user001,2025-12-14,6,1,6857,13,0,0,0,6,24,0.24588012250255215,0.38179962082543384,8962,322,0,0,1,24,0.24157554117384514,0.3804954251283196,0.5665339149124471
user002,2025-12-08,0,0,5707,12,0,0,0,10,24,0.21990537935868232,0.4489223760294375,9381,252,0,0,1,24,0.2739580002131969,0.3579575738194222,0.6217523860021209
user002,2025-12-09,1,0,6605,11,0,0,0,10,24,0.19303557910673733,0.4651021953065859,11047,432,0,0,1,24,0.20458042907576718,0.49235086448809634,0.6258214366644006
user002,2025-12-10,2,0,7246,14,0,0,0,8,24,0.17582114269942037,0.528153463980127,15330,533,0,0,1,24,0.1435746901500326,0.6176777560339204,0.6790396881644224
user002,2025-12-11,3,0,7313,14,0,0,0,15,24,0.16313414467386844,0.5190756187611103,13769,574,0,0,1,24,0.1965284334374319,0.5049023167986055,0.6531164026183474
user002,2025-12-12,4,0,6652,16,0,0,0,15,24,0.19798556825015032,0.5076668671076368,10086,385,0,0,1,24,0.24419988102320048,0.5467975411461432,0.6025809535189389
user002,2025-12-13,5,1,5191,12,0,0,0,8,24,0.1691388942400308,0.4999036794451936,4419,414,0,0,1,24,0.157275401674587,0.5641547861507128,0.4598335067637877
user002,2025-12-14,6,1,4372,12,0,0,0,8,24,0.22964318389752975,0.3934126258005489,4229,302,0,0,1,24,0.2208559943248995,0.43154410026010875,0.4916870131380072
user003,2025-12-08,0,0,7693,17,4,8,0,8,18,0.0,0.5046145846873782,36,4,2,0,1,8,0.0,0.5277777777777778,0.004657782378056669
user003,2025-12-09,1,0,9405,18,4,6,0,6,24,0.17767145135566187,0.4738968633705476,16,3,1,0,1,8,0.375,0.3125,0.001698333510243074
user003,2025-12-10,2,0,9404,17,3,6,0,6,24,0.2038494257762654,0.4646958740961293,32,3,1,0,1,12,0.28125,0.4375,0.003391267486222976
user003,2025-12-11,3,0,9313,18,3,6,0,6,24,0.19789541501127456,0.5422527649522173,28,2,1,0,1,11,0.4642857142857143,0.21428571428571427,0.0029975377368590085
user003,2025-12-12,4,0,4046,15,3,6,0,6,23,0.27854671280276816,0.5514087988136431,27,3,2,0,1,12,0.07407407407407407,0.5555555555555556,0.006629020378099681
user003,2025-12-13,5,1,44,4,1,5,0,5,18,0.13636363636363635,0.6363636363636364,13,3,1,0,1,10,0.3076923076923077,0.38461538461538464,0.22807017543859648
user003,2025-12-14,6,1,78,6,1,6,0,6,23,0.47435897435897434,0.16666666666666666,34,3,1,0,1,15,0.35294117647058826,0.20588235294117646,0.30357142857142855
user005,2025-12-08,0,0,7131,21,0,0,0,13,24,0.03786285233487589,0.7610433319310055,8050,671,0,0,1,23,0.008695652173913044,0.7366459627329193,0.5302680982807456
user005,2025-12-09,1,0,6628,20,0,0,0,14,24,0.049336149668074834,0.7269161134580567,12749,701,0,0,1,24,0.04808220252568829,0.7337046042826888,0.6579449863239923
user005,2025-12-10,2,0,11106,21,0,0,0,13,24,0.037997478840266524,0.8018188366648659,10249,718,0,0,1,24,0.08947214362376817,0.4576056200604937,0.4799344415827675
user005,2025-12-11,3,0,9628,21,0,0,0,10,24,0.12390943082675529,0.6988990444536768,7277,508,0,0,1,24,0.07145801841418167,0.6666208602446063,0.4304643596569062
user005,2025-12-12,4,0,8796,24,0,0,0,11,24,0.09720327421555253,0.6994088221919054,24841,777,0,0,1,24,0.017994444668089048,0.9042309085785596,0.7385022445521301
user005,2025-12-13,5,1,3234,7,0,0,0,8,24,0.2653061224489796,0.5470006184291899,1593,138,0,0,1,23,0.30947897049591966,0.4708097928436911,0.3300186451211933
user005,2025-12-14,6,1,4010,4,0,0,0,7,24,0.4825436408977556,0.26932668329177056,170,40,0,0,1,12,0.01764705882352941,0.07058823529411765,0.04066985645933014
user006,2025-12-01,0,0,12925,22,29,8,1,10,24,0.13408123791102514,0.5689748549323017,4530,449,3,0,1,24,0.15077262693156732,0.5342163355408388,0.2595244915496992
user006,2025-12-02,1,0,13049,23,25,11,2,13,24,0.14782741972564947,0.5877078703348916,1569,248,3,0,1,21,0.5270873167622689,0.08795411089866156,0.10733342454508141
user006,2025-12-03,2,0,12756,24,30,9,1,10,24,0.14283474443399186,0.5293979303857008,1706,272,3,0,1,22,0.05509964830011723,0.3141852286049238,0.1179643202876504
user006,2025-12-04,3,0,15566,23,34,10,2,13,24,0.12148271874598483,0.5910317358345111,3334,435,3,0,1,23,0.30503899220155967,0.48260347930413916,0.1764021164021164
user006,2025-12-05,4,0,12904,25,29,11,2,11,24,0.16460012399256044,0.5191413515189088,1280,173,3,0,1,22,0.121875,0.571875,0.09024252679075014
user006,2025-12-06,5,1,9684,20,25,17,1,20,24,0.1819496076001652,0.4704667492771582,363,110,3,0,1,22,0.1046831955922865,0.6170798898071626,0.03613018811585548
user006,2025-12-07,6,1,9687,26,47,18,2,21,24,0.19314545266852481,0.5183235263755549,2192,310,2,0,1,23,0.0843978102189781,0.6692518248175182,0.1845273171142352
user006,2025-12-08,0,0,10376,26,30,11,2,11,24,0.11372397841171936,0.5793176561295297,3693,408,2,0,1,24,0.16517736257784998,0.503655564581641,0.2624920036960694
user006,2025-12-09,1,0,10619,23,29,10,1,12,24,0.155476033524814,0.5258498917035502,4876,551,2,0,1,24,0.16283839212469237,0.45652173913043476,0.3146821555340432
user006,2025-12-10,2,0,10466,23,32,10,2,12,24,0.15870437607490923,0.511752340913434,3607,406,3,0,1,24,0.2093152204047685,0.43193789853063486,0.2563064023307042
user006,2025-12-11,3,0,11113,23,33,10,1,12,24,0.15612345901196797,0.5202915504364258,4472,470,2,0,1,24,0.15742397137745975,0.49127906976744184,0.28694257298684633
user006,2025-12-12,4,0,10300,23,37,10,2,10,24,0.171747572815534,0.5051456310679612,5239,455,3,0,1,24,0.12235159381561367,0.6033594197365909,0.33715168286247504
user006,2025-12-13,5,1,9138,14,13,9,2,9,24,0.18461370102867147,0.4413438389144233,3557,385,3,0,1,24,0.21535001405678944,0.3947146471745853,0.28018905080740447
user006,2025-12-14,6,1,9605,20,20,18,1,20,24,0.19167100468505988,0.4475793857365955,3786,359,3,0,1,24,0.22636027469624934,0.3560486001056524,0.28272720483907104
user006,2025-12-15,0,0,11608,24,30,9,1,9,24,0.16548931771192282,0.5276533425223984,4448,466,2,0,1,24,0.1931205035971223,0.47819244604316546,0.27703039362232185
user006,2025-12-16,1,0,11838,23,32,9,1,9,24,0.14858928873120458,0.614968744720392,3759,375,2,0,1,24,0.16174514498536846,0.5583931896781059,0.24100788613194846
user006,2025-12-17,2,0,10015,21,58,10,1,10,24,0.07878182725911133,0.5943085371942087,3564,439,1,0,1,24,0.10942760942760943,0.5277777777777778,0.2624640989763606
user006,2025-12-18,3,0,11083,23,36,9,1,9,24,0.12695118650184967,0.5663628981322747,3245,399,1,0,1,23,0.14791987673343607,0.5318952234206471,0.22647962032384142
user006,2025-12-19,4,0,10735,22,30,9,1,9,24,0.1561248253376805,0.5463437354448067,2595,319,1,0,1,23,0.2003853564547206,0.43082851637764935,0.1946736684171043
user006,2025-12-20,5,1,10084,26,27,21,1,22,24,0.1849464498214994,0.4702499008330028,2462,282,1,0,1,24,0.24248578391551584,0.3489033306255077,0.1962378447313885
user006,2025-12-21,6,1,9667,20,26,20,1,22,24,0.16964932243715733,0.45567394227785246,1813,250,1,0,1,18,0.2713734142305571,0.5432984004412575,0.15792682926829268
user006,2025-12-22,0,0,11356,18,31,9,1,9,24,0.15427967594223319,0.4464600211342022,1916,286,1,0,1,16,0.0,0.6111691022964509,0.14436407474382157
user006,2025-12-23,1,0,10768,23,34,9,1,9,24,0.16669762258543833,0.5164375928677564,2901,331,1,0,1,24,0.21165115477421578,0.432609445018959,0.2122320579413271
user006,2025-12-24,2,0,12002,22,29,10,2,10,24,0.11656390601566406,0.6031494750874854,4318,492,2,0,1,24,0.18040759610930987,0.48193608151922185,0.26458333333333334
user006,2025-12-25,3,0,8955,21,30,8,1,8,24,0.1577889447236181,0.5018425460636516,3482,379,3,0,1,24,0.18696151636990235,0.40436530729465825,0.27997105411272816
user006,2025-12-26,4,0,10280,22,36,11,2,11,24,0.14182879377431906,0.5363813229571984,3687,429,2,0,1,24,0.20802820721453757,0.41442907512883104,0.2639793799670652
user006,2025-12-27,5,1,7343,14,13,7,1,7,24,0.19297289935993464,0.4547187797902765,3344,366,3,0,1,24,0.2117224880382775,0.44766746411483255,0.3129035276504164
