date,total,critical,high,medium,low,top_entity,top_score
2025-12-02,34,2,5,10,17,tmtp-000112,1.0
2025-12-03,34,2,5,10,17,tmtp-000112,1.0
2025-12-04,34,2,5,10,17,TMTP-000023-NB,0.8587295635595482
2025-12-05,35,2,5,11,17,TMTP-000023-NB,0.7733237376149209
2025-12-06,31,2,5,9,15,tmtp-003366,0.622267036043868
2025-12-07,31,2,5,9,15,tmtp-000112,1.0
2025-12-08,35,2,5,11,17,TMTP-000023-NB,0.8515760778555528
2025-12-09,34,2,5,10,17,tmtp-000907,0.7970466349302636
2025-12-10,34,2,5,10,17,tmtp-004135,0.6011850895053721
2025-12-11,35,2,5,11,17,TMTP-000023-NB,0.8616512047235679
2025-12-12,35,2,5,11,17,tmtp-003213,0.9777420102449073
2025-12-13,31,2,5,9,15,tmtp-003612,0.6523786767924281
2025-12-14,31,2,5,9,15,tmtp-000262,0.7868573858316614
2025-12-15,35,2,5,11,17,cplus-0107994,0.6673712137594352
2025-12-16,35,2,5,11,17,TMTP-000023-NB,0.5607206748599757
2025-12-17,35,2,5,11,17,tmtp-000112,1.0
2025-12-18,35,2,5,11,17,tmtp-000112,1.0
2025-12-19,35,2,5,11,17,tmtp-000112,1.0
2025-12-20,30,2,4,9,15,tmtp-000112,1.0
2025-12-21,30,2,4,9,15,tmtp-000112,1.0
2025-12-22,35,2,5,11,17,tmtp-000262,0.7709353230778826
2025-12-23,34,2,5,10,17,tmtp-003366,0.6249012552205815
2025-12-24,35,2,5,11,17,tmtp-003366,0.6567539523442484
2025-12-25,34,2,5,10,17,TMTP-000023-NB,0.7960894088202454
2025-12-26,34,2,5,10,17,TMTP-000023-NB,0.577941144423532
2025-12-27,29,2,4,9,14,tmtp-000112,1.0
2025-12-28,29,2,4,9,14,tmtp-000224,0.5958134884646893
2025-12-29,33,2,5,10,16,tmtp-005278,0.7264102899380986
2025-12-30,33,2,5,10,16,tmtp-003366,0.7416919266292465
2025-12-31,28,2,4,8,14,tmtp-000112,1.0
