entity_type,entity,date,severity,top_contributors,reason_hint,soc_recommendation
user,user051,2025-12-31,critical,"siem_business_share:-5.83 (v=0, base=0); pan_business_share:-5.82 (v=0, base=0); pan_unique_name:-5.29 (v=0, base=1); siem_unique_destination_addr:-5.26 (v=3, base=22); siem_unique_source_process:-4.72 (v=2, base=6)",SIEM: смещение активности между рабочими и нерабочими часами (снижение); PAN: смещение активности между рабочими и нерабочими часами (снижение); PAN: появление новых имён событий/программ (снижение); SIEM: новые адреса назначения в сети (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение),"Проверить регламенты и плановые работы, сравнить с типовым графиком.; Проверить запуск новых приложений/процессов и соответствие политике.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить контекст событий по признаку unique_source_process в исходных данных."
user,user096,2025-12-31,high,"siem_events_total:-4.60 (v=711, base=6270); siem_night_share:+3.67 (v=0, base=0); pan_share_of_all_events:+3.66 (v=1, base=0); siem_unique_destination_addr:-3.54 (v=6, base=16); pan_unique_destination_addr:-2.97 (v=94, base=369)",SIEM: резкое изменение количества событий (снижение); SIEM: рост ночной активности (рост); PAN: аномальное отклонение по признаку share_of_all_events (рост); SIEM: новые адреса назначения в сети (снижение); PAN: новые адреса назначения в сети (снижение),"Проверить источники событий и наличие массовых операций/сканирований.; Проверить события вне рабочего времени и возможные автоматизации.; Проверить контекст событий по признаку share_of_all_events в исходных данных.; Проверить назначения соединений, сверить с белыми/чёрными списками."
user,user042,2025-12-31,high,"siem_unique_source_process:-18.55 (v=0, base=55); siem_business_share:-11.28 (v=0, base=1); siem_unique_destination_addr:-7.42 (v=1, base=18); siem_events_total:-7.15 (v=6, base=2672); siem_unique_name:-6.74 (v=1, base=6)",SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: смещение активности между рабочими и нерабочими часами (снижение); SIEM: новые адреса назначения в сети (снижение); SIEM: резкое изменение количества событий (снижение); SIEM: появление новых имён событий/программ (снижение),"Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить регламенты и плановые работы, сравнить с типовым графиком.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить запуск новых приложений/процессов и соответствие политике."
user,user001,2025-12-31,low,"siem_unique_destination_addr:-12.14 (v=5, base=23); siem_unique_source_process:-5.59 (v=1, base=30); siem_events_total:-5.48 (v=3495, base=10542); pan_unique_destination_addr:-2.15 (v=188, base=382); siem_unique_event_class:-2.02 (v=7, base=10)",SIEM: новые адреса назначения в сети (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: резкое изменение количества событий (снижение); PAN: новые адреса назначения в сети (снижение); SIEM: появление новых классов сетевых событий (снижение),"Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить сетевую активность, типы трафика и правила NGFW."
user,user040,2025-12-31,low,"siem_unique_event_class:+6.07 (v=17, base=8); siem_unique_name:+3.71 (v=20, base=9); pan_unique_hours:+1.04 (v=24, base=14); siem_events_total:+0.65 (v=5471, base=4714); siem_night_share:+0.56 (v=0, base=0)",SIEM: появление новых классов сетевых событий (рост); SIEM: появление новых имён событий/программ (рост); PAN: активность в нетипичные часы (рост); SIEM: резкое изменение количества событий (рост); SIEM: рост ночной активности (рост),"Проверить сетевую активность, типы трафика и правила NGFW.; Проверить запуск новых приложений/процессов и соответствие политике.; Сверить время активности с рабочими сменами и разрешёнными окнами.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить события вне рабочего времени и возможные автоматизации."
user,user047,2025-12-31,low,"siem_business_share:-17.52 (v=0, base=1); siem_unique_source_process:-16.86 (v=0, base=50); siem_events_total:-9.06 (v=0, base=2674); siem_unique_destination_addr:-7.42 (v=0, base=16); siem_unique_hours:-6.74 (v=0, base=10)",SIEM: смещение активности между рабочими и нерабочими часами (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: резкое изменение количества событий (снижение); SIEM: новые адреса назначения в сети (снижение); SIEM: активность в нетипичные часы (снижение),"Проверить регламенты и плановые работы, сравнить с типовым графиком.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Сверить время активности с рабочими сменами и разрешёнными окнами."
user,user008,2025-12-31,low,"siem_events_total:-1.73 (v=8906, base=11336); siem_unique_event_class:-1.35 (v=6, base=8); siem_unique_destination_addr:-1.24 (v=15, base=20); pan_events_total:-1.20 (v=2125, base=4376); pan_share_of_all_events:-1.06 (v=0, base=0)",SIEM: резкое изменение количества событий (снижение); SIEM: появление новых классов сетевых событий (снижение); SIEM: новые адреса назначения в сети (снижение); PAN: резкое изменение количества событий (снижение); PAN: аномальное отклонение по признаку share_of_all_events (снижение),"Проверить источники событий и наличие массовых операций/сканирований.; Проверить сетевую активность, типы трафика и правила NGFW.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить контекст событий по признаку share_of_all_events в исходных данных."
user,user038,2025-12-31,low,"siem_unique_destination_addr:-2.70 (v=11, base=15); siem_unique_source_process:-2.14 (v=16, base=26); siem_unique_event_class:-2.02 (v=6, base=9); pan_night_share:+1.68 (v=0, base=0); siem_night_share:+1.64 (v=0, base=0)",SIEM: новые адреса назначения в сети (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: появление новых классов сетевых событий (снижение); PAN: рост ночной активности (рост); SIEM: рост ночной активности (рост),"Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить сетевую активность, типы трафика и правила NGFW.; Проверить события вне рабочего времени и возможные автоматизации."
user,user005,2025-12-31,low,"siem_night_share:+4.31 (v=0, base=0); siem_unique_source_process:-3.13 (v=12, base=38); siem_events_total:-3.05 (v=5625, base=12055); siem_unique_destination_addr:-2.70 (v=14, base=22); siem_unique_category:+2.64 (v=2, base=1)",SIEM: рост ночной активности (рост); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: резкое изменение количества событий (снижение); SIEM: новые адреса назначения в сети (снижение); SIEM: появление новых категорий событий (рост),"Проверить события вне рабочего времени и возможные автоматизации.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Сопоставить новые категории с типовыми сценариями и расследовать отклонения."
user,user046,2025-12-31,low,"siem_unique_source_process:-1.31 (v=12, base=28); siem_business_share:-1.07 (v=0, base=0); siem_night_share:+0.71 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=7, base=11); siem_unique_event_class:-0.67 (v=4, base=5)",SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: смещение активности между рабочими и нерабочими часами (снижение); SIEM: рост ночной активности (рост); SIEM: новые адреса назначения в сети (снижение); SIEM: появление новых классов сетевых событий (снижение),"Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить регламенты и плановые работы, сравнить с типовым графиком.; Проверить события вне рабочего времени и возможные автоматизации.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить сетевую активность, типы трафика и правила NGFW."
